Exp_A,Exp_B,Exp_C
0.8123454406274337,0.8101353976720329,0.8058756537698325
0.830280060672812,0.8298997050489033,0.8078316361528568
0.7856745975964188,0.7855715336986298,0.7407609127931779
0.8390562077188533,0.8396965279131647,0.8171528789475966
0.8186485398261519,0.8176095525764202,0.8059856814129966
0.8065247591964292,0.8063003014117797,0.7901625472172608
0.7589035207810043,0.7601704704801158,0.6882060502029596
0.8388606525299234,0.8379215772865857,0.7771771985885947
0.8288657275257597,0.828096890640311,0.8055776973607247
0.797355780334953,0.7957586372976904,0.7832694819479342
0.7905580650299915,0.7892926348397509,0.8241192879511673
0.810874634421751,0.8103269750955315,0.7860875890850223
0.7910661614844116,0.7902080052666822,0.800498837199774
0.8493209354920034,0.8492070878826293,0.816676059549825
0.8183462545296332,0.8217493685888507,0.7800019508884695
0.8012945635217897,0.8000127728661812,0.7721977384344593
0.786060106176561,0.7862083095547,0.7712829022895186
0.7836149011163285,0.7826366760917585,0.767794968413184
0.7487585779158072,0.7477185048682833,0.7004097301593468
0.8464754556144835,0.8471110025861177,0.8176548541983327
0.7598117672050437,0.7602415718841247,0.7149471515671898
0.774731464438486,0.7726690403707843,0.7529624902892047
0.8312220312449999,0.8301868118537223,0.7886417653969156
0.8699262443879815,0.8697084233665342,0.8384640099150602
0.8048739952894438,0.8046325592756935,0.7503085555802141
0.7870527059869424,0.7869571933386353,0.7061859035511577
0.7903263367596689,0.7902737047418225,0.7454760770548186
0.7761102367720953,0.7769127315680748,0.7520330369957344
0.8526368183028157,0.8523600633863055,0.8273727284897077
0.8376782892938163,0.8376482088161198,0.8064266405020141
0.7616194007870153,0.7610461049491775,0.7577857336747422
0.8141530104047088,0.8140316069060133,0.7880542527230714
0.8038857834714985,0.8048404380410534,0.7846760782045799
0.8248580397566883,0.8242322458348003,0.8067001199927832
0.7858026538322417,0.7855404865406348,0.7591957147224274
0.7617659777520583,0.7639173970468028,0.7342450580230548
0.8435862391493674,0.8441597135553904,0.8313796455770669
0.7778174478233798,0.7804377301255443,0.7847259849394888
0.7952546556624365,0.7939928675858494,0.7446585194975007
0.7942241089058137,0.7932814565445401,0.7785934487600332
0.752671462775541,0.7535368390708134,0.7212912522417888
0.8210507121116838,0.8202659966480205,0.7945353288754124
0.7679998393728804,0.7678481887641818,0.7477758329733244
0.7806145146096333,0.7801402685616052,0.7815310786297602
0.8320864704194323,0.8300080307832426,0.802180171046684
0.8086126173084658,0.807296723827785,0.7471451887900975
0.8176519921417356,0.8184630786147461,0.777476447888783
0.8382556529711457,0.8364197469345411,0.8064093822690699
0.8354643975009783,0.8360346603766395,0.8296315268542157
0.8024233909064679,0.801472401252966,0.7583289888812157
0.8053554622327022,0.804793562514056,0.7926763400830564
0.7668341247812527,0.7660341743235326,0.7336731766647338
0.807913427381787,0.8073708014753982,0.760377383546688
0.8368504860542018,0.8382280616805436,0.7644040801911551
0.8026006476249847,0.8018118248171133,0.7476584638526993
0.7922504785781901,0.7917211899658989,0.7760808777307954
0.832516048694002,0.8333229439237102,0.8127881009443326
0.7899635402496539,0.7882730551191414,0.7855006629346035
0.791903716226065,0.7921757884817999,0.80816168305028
0.8059780610093769,0.8047712382060059,0.7993842533866167
0.7775803434667227,0.7765945413711484,0.7417152934813664
0.7696806790464585,0.7742711923024856,0.7072728965469253
0.8304026637329424,0.8315548000577069,0.8031523626405266
0.7256015552521449,0.7249638875337272,0.6985939017498833
