Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
RF,0.7098696398089672,0.04146619936986635,0.4980750993431135,morgan,2
SVM,0.7098370243814688,0.046615247700173064,0.5130218114069977,morgan,2
LGBM+XGB+SVM,0.7088284951778248,0.044962950545221245,0.5107783800920626,morgan,2
ET+SVM,0.7084547685215952,0.0482514199542427,0.5070430164364839,morgan,2
LGBM+XGB+kNN,0.7081575455274278,0.052637905451718404,0.5067401530902351,morgan,2
RF+ET+LGBM,0.7081003316907925,0.04435417042556566,0.4996010615516542,morgan,2
RF+LGBM+XGB,0.7077947541681676,0.042713240269864984,0.4983085671373589,morgan,2
ET+LGBM+kNN,0.7075076523132617,0.05468262495238602,0.503566915439685,morgan,2
SVM+kNN,0.707049489161997,0.053462565968590336,0.5078133695420826,morgan,2
LGBM+kNN,0.705129727567834,0.05347450662262345,0.5101594200295223,morgan,2
ET+XGB+kNN,0.704848047807198,0.0530262067051718,0.5094353013418222,morgan,2
XGB+SVM+kNN,0.7047044808697918,0.0553179103097703,0.5105938995843982,morgan,2
ET+XGB+SVM,0.7034208149722916,0.04657517175463793,0.5121325923305149,morgan,2
RF+XGB,0.702745096064341,0.04421869412757289,0.5020597141417955,morgan,2
RF+ET,0.7018315054254993,0.04691911071596061,0.5023167170762927,morgan,2
RF+ET+XGB,0.7004832176532229,0.04589802166476127,0.5028422045276131,morgan,2
LGBM,0.700309715135911,0.053578563767412844,0.5112246816830914,morgan,2
LGBM+XGB,0.6997870156998273,0.04051193984333129,0.520521169240362,morgan,2
XGB+kNN,0.6997621155464948,0.05406821753150163,0.5160986811763781,morgan,2
XGB+SVM,0.6983020662577871,0.049207431235093545,0.5187890652004452,morgan,2
ET+LGBM+XGB,0.6981197318338515,0.040802138096579565,0.51731470947585,morgan,2
ET+LGBM,0.6957155753352102,0.04252827300622672,0.5205919430348611,morgan,2
ET+kNN,0.6911581323023764,0.05507649700882662,0.5183795786048242,morgan,2
ET+XGB,0.683329196239746,0.03809268501551415,0.5371182492146931,morgan,2
XGB,0.6798837176007715,0.056852785855877545,0.5213435137768642,morgan,2
kNN,0.6644268252878017,0.05739673649029219,0.5426084618370248,morgan,2
ET,0.5803909293009084,0.08986453387779027,0.56484929407983,morgan,2
RF+XGB+SVM,0.7112184250963693,0.06192393420954766,0.5094587864333893,morgan,3
SVM,0.7097641182593126,0.06363304230351978,0.5116229626866545,morgan,3
XGB+SVM,0.708827170607946,0.060307551137064895,0.5151953050698466,morgan,3
ET+XGB+SVM,0.7084968633220322,0.06071484846322423,0.515554238479225,morgan,3
RF+SVM,0.7075467775569397,0.06838722878071259,0.5085719975374599,morgan,3
RF+ET+SVM,0.7074452188933703,0.07014811344130721,0.5102673225527463,morgan,3
RF+LGBM+SVM,0.703183495297639,0.05589047712756594,0.5158543045339805,morgan,3
XGB+SVM+kNN,0.7019180072541616,0.05389791879797116,0.5197752411424019,morgan,3
RF+SVM+kNN,0.7011340624340512,0.0626431724378638,0.5163736567432953,morgan,3
LGBM+XGB+SVM,0.7009372964967353,0.04631230894767366,0.5241512973922899,morgan,3
ET+SVM,0.7001868164704094,0.070919173460239,0.5190187014690937,morgan,3
LGBM+SVM,0.6998265974001994,0.052509093349329954,0.5229524500858457,morgan,3
LGBM+SVM+kNN,0.6992942855182245,0.05362311838537512,0.5193689872904211,morgan,3
RF+ET+LGBM,0.6986981996204026,0.05247586807776533,0.5197293787792294,morgan,3
LGBM,0.6986411143428074,0.054698916602010275,0.5235410870344186,morgan,3
RF+LGBM,0.6985073490786098,0.05212560415412086,0.5198114808845812,morgan,3
RF+LGBM+XGB,0.6976967522892531,0.04279281211037707,0.5230334130058696,morgan,3
ET+LGBM+SVM,0.6968772673762514,0.0536826538655242,0.5249595798691072,morgan,3
RF+ET+XGB,0.6967949514713899,0.05753166468988654,0.5184768468667821,morgan,3
RF+LGBM+kNN,0.6967269876913151,0.05108846292072607,0.5195837755801913,morgan,3
LGBM+kNN,0.6964238498828479,0.049182785032812835,0.5205519697483453,morgan,3
LGBM+XGB+kNN,0.6958716955871221,0.041217989649332806,0.5240624531993983,morgan,3
RF+XGB+kNN,0.6942452147536622,0.053087138251438286,0.5234868621569756,morgan,3
RF+XGB,0.6939536199841719,0.0559559251825976,0.520315469526952,morgan,3
ET+SVM+kNN,0.6931652673436891,0.06216822566217007,0.5252011205106427,morgan,3
SVM+kNN,0.6929171420826841,0.06215773879375962,0.5258624949204728,morgan,3
LGBM+XGB,0.6928315486224973,0.038090922714816094,0.5343117273307749,morgan,3
ET+LGBM+kNN,0.6928313700063523,0.04959332231960138,0.5245653647619449,morgan,3
ET+LGBM+XGB,0.6921220186808533,0.03700715460711515,0.535569943372151,morgan,3
RF,0.6882613857214686,0.06517507563610105,0.5180286850645743,morgan,3
ET+LGBM,0.687496762252241,0.04645134578864317,0.5373030515775734,morgan,3
ET+XGB+kNN,0.685711323251088,0.04473952547413984,0.5362773586169375,morgan,3
RF+ET+kNN,0.6851487014893103,0.06000438920358936,0.5271805601476094,morgan,3
RF+ET,0.6843234572244883,0.06518060351033292,0.5239915700911766,morgan,3
RF+kNN,0.6840086819530884,0.06048234358089045,0.5283403523672701,morgan,3
XGB+kNN,0.6835416490326915,0.04671592570585034,0.5392695497864967,morgan,3
XGB,0.6823908831350523,0.06853798475689699,0.5306159202082632,morgan,3
